Transaction Number;Ethereum (PoW);Hyperledger Besu (IBFT2);CosmWasm (Tendermint)
986;28.25;4.65;5.45
987;12.21;4.55;5.37
988;13.2;5.69;5.35
989;56.21;4.73;5.33
990;35.18;4.62;5.35
991;74.43;5.69;5.44
992;23.23;4.63;5.54
993;28.22;4.69;5.43
994;16.23;5.62;5.45
995;35.28;4.6;5.37
996;9.2;5.79;5.48
997;9.24;4.74;5.45
998;53.35;4.68;5.43
999;23.21;4.52;5.36
1000;97.74;5.81;5.35
