Transaction Number;Ethereum (PoW);Hyperledger Besu (IBFT2);CosmWasm (Tendermint)
227;45.56;4.56;5.44
228;14.44;5.84;5.46
229;13.74;4.64;5.57
230;10.23;4.67;5.33
231;80.13;4.68;5.37
232;17.25;5.75;5.37
233;47.37;4.63;5.42
234;18.11;5.65;5.44
235;18.48;4.78;5.37
236;24.97;4.68;5.36
237;33.5;4.76;5.53
238;15.14;5.7;5.33
239;48.92;4.8;5.56
240;5.28;4.75;5.33
241;58.62;4.56;5.43
242;18.35;5.73;5.44
243;52.35;4.62;5.33
244;7.46;4.64;5.33
245;21.98;5.59;5.37
246;20.94;4.72;5.43
247;29.25;4.7;5.36
248;21.3;5.84;5.45
249;8.33;4.73;5.34
250;6.52;4.75;5.33
251;18.11;4.64;5.48
252;11.03;5.85;5.47
253;13.8;4.65;5.39
254;107.84;4.67;5.43
255;19.98;5.73;5.35
256;7.45;4.66;5.33
257;53.58;4.6;5.33
258;6.95;5.83;5.44
259;9.45;4.78;5.35
260;33.38;4.78;5.34
261;31.36;4.78;5.39
262;7.39;4.71;5.38
263;18.41;5.66;5.4
264;11.4;4.75;5.35
265;10.33;4.55;5.35
266;10.09;5.79;5.33
267;10.23;4.57;5.43
268;11.62;4.73;5.47
269;29.43;5.64;5.36
270;15.78;4.74;5.33
271;31.82;5.61;5.37
272;12.4;4.64;5.61
273;32.15;4.57;5.53
274;13.64;5.74;5.36
275;32.34;4.54;5.35
276;13.96;4.64;5.37
277;17.03;5.77;5.45
278;16.76;4.64;5.36
279;13.38;4.85;5.34
280;36.95;4.67;5.34
281;8.6;5.65;5.37
282;13.17;4.74;5.43
283;11.26;4.54;5.44
284;11.27;5.56;5.49
285;26.2;4.68;5.43
286;6.83;5.61;5.33
287;10.61;4.64;5.42
288;15.03;4.59;5.34
289;19.82;5.75;5.35
290;26.67;4.59;5.33
291;21.64;4.56;5.44
292;34.55;5.71;5.43
293;58.06;4.64;5.36
294;42.99;4.67;5.36
295;22.05;5.69;5.46
296;20.26;4.68;5.36
297;8.47;4.62;5.31
298;13.05;5.81;5.34
299;15.54;4.64;5.34
300;4.02;4.89;5.34
301;20.39;4.58;5.37
302;48.52;5.63;5.44
303;26.97;4.9;5.44
304;31.26;4.79;5.44
305;62.58;5.65;5.47
306;12.59;9.77;5.35
307;15.07;5.03;5.35
308;8.32;4.69;5.38
309;88.33;4.64;5.44
310;15.17;5.86;5.33
311;17.09;4.8;5.48
312;8.19;4.58;5.45
313;7.08;5.6;5.49
314;53.21;4.98;5.44
315;17.33;4.16;5.34
316;11.94;5.9;5.35
317;9.22;4.57;5.4
318;11.25;4.64;5.54
319;10.12;5.67;5.33
320;37.32;4.64;5.35
321;55.49;4.6;5.35
322;4.1;5.6;5.34
323;10.04;4.63;5.33
324;12.08;5.69;5.37
325;8.1;4.93;5.42
326;8;4.82;5.34
327;29.02;4.68;5.48
328;42.16;4.72;5.35
329;32.3;4.95;5.33
330;39.19;5.73;5.33
331;42.25;4.99;5.36
332;4.12;4.57;5.38
333;14.07;4.69;5.33
334;20.13;5.75;5.46
335;24.07;4.94;5.56
336;5.09;5;5.48
337;59.18;4.88;5.34
338;22.12;4.63;5.43
339;19.99;5.71;5.46
340;15.68;4.77;5.51
341;51.61;4.51;5.54
342;30.18;5.75;5.44
343;35.25;4.93;5.35
344;6.25;4.93;5.34
345;7.08;4.96;5.43
346;37.49;4.64;5.36
347;32.49;4.59;5.45
348;13.18;5.85;5.53
349;23.17;5.01;5.34
350;18.55;4.9;5.43
351;7.03;5.06;5.36
352;9.37;4.59;5.45
353;67.87;4.65;5.46
354;11.28;5.84;5.35
355;12.76;4.81;5.34
356;43.1;4.62;5.45
357;32.18;5.08;5.36
358;11.04;4.6;5.46
359;7.5;5.77;5.4
360;18.12;4.63;5.42
361;15.11;4.59;5.37
362;35.11;5.67;5.43
363;35.33;4.51;5.57
