Time (in seconds),Validator,Memory Used (MB)
1354,Validator,101.70
1355,Validator,101.70
1356,Validator,101.70
1357,Validator,101.70
1358,Validator,101.70
1359,Validator,101.70
1360,Validator,101.70
1361,Validator,101.80
1362,Validator,101.80
1363,Validator,101.80
1364,Validator,101.80
1365,Validator,101.80
1366,Validator,101.80
1367,Validator,101.80
1368,Validator,101.80
1369,Validator,101.80
1370,Validator,101.80
1371,Validator,101.80
1372,Validator,101.80
1373,Validator,101.80
1374,Validator,101.80
1375,Validator,101.80
1376,Validator,101.80
1377,Validator,101.80
1378,Validator,101.80
1379,Validator,101.80
1380,Validator,101.80
1381,Validator,101.80
1382,Validator,101.80
1383,Validator,101.80
1384,Validator,101.80
1385,Validator,101.80
1386,Validator,101.80
1387,Validator,101.80
1388,Validator,101.80
1389,Validator,101.80
1390,Validator,101.80
1391,Validator,101.80
1392,Validator,101.80
1393,Validator,101.80
1394,Validator,101.80
1395,Validator,101.80
1396,Validator,101.80
1397,Validator,101.80
1398,Validator,101.80
1399,Validator,101.80
1400,Validator,101.80
1401,Validator,101.80
1402,Validator,101.80
1403,Validator,101.80
1404,Validator,101.90
1405,Validator,101.90
1406,Validator,101.90
1407,Validator,101.90
1408,Validator,101.90
1409,Validator,101.90
1410,Validator,101.90
1411,Validator,101.90
1412,Validator,101.90
1413,Validator,101.90
1414,Validator,101.90
1415,Validator,101.90
1416,Validator,101.90
1417,Validator,101.90
1418,Validator,101.90
1419,Validator,101.90
1420,Validator,101.90
1421,Validator,101.90
1422,Validator,101.90
1423,Validator,101.90
1424,Validator,101.90
1425,Validator,101.90
1426,Validator,101.90
1427,Validator,101.90
1428,Validator,101.90
1429,Validator,101.90
1430,Validator,101.90
1431,Validator,101.90
1432,Validator,101.90
1433,Validator,101.90
1434,Validator,101.90
1435,Validator,101.90
1436,Validator,101.90
1437,Validator,101.90
1438,Validator,101.90
1439,Validator,101.90
1440,Validator,101.90
1441,Validator,101.90
1442,Validator,101.90
1443,Validator,101.90
1444,Validator,102.00
1445,Validator,102.00
1446,Validator,102.00
1447,Validator,102.00
1448,Validator,102.00
1449,Validator,102.00
1450,Validator,102.00
1451,Validator,102.00
1452,Validator,102.00
1453,Validator,102.00
1454,Validator,102.00
1455,Validator,102.00
1456,Validator,102.00
1457,Validator,102.00
1458,Validator,102.00
1459,Validator,102.00
1460,Validator,102.00
1461,Validator,102.00
1462,Validator,102.00
1463,Validator,102.00
1464,Validator,102.00
1465,Validator,102.00
1466,Validator,102.00
1467,Validator,102.00
1468,Validator,102.00
1469,Validator,102.00
1470,Validator,102.00
1471,Validator,102.00
1472,Validator,102.00
1473,Validator,102.00
1474,Validator,102.00
1475,Validator,102.00
1476,Validator,102.00
1477,Validator,102.00
1478,Validator,102.00
1479,Validator,102.00
1480,Validator,102.00
1481,Validator,102.00
1482,Validator,102.00
1483,Validator,102.00
1484,Validator,102.00
1485,Validator,102.00
1486,Validator,102.00
1487,Validator,102.10
1488,Validator,102.10
1489,Validator,102.10
1490,Validator,102.10
1491,Validator,102.10
1492,Validator,102.10
1493,Validator,102.10
1494,Validator,102.10
1495,Validator,102.10
1496,Validator,102.10
1497,Validator,102.10
1498,Validator,102.10
1499,Validator,102.10
1500,Validator,102.20
1501,Validator,102.20
1502,Validator,102.20
1503,Validator,102.20
1504,Validator,102.20
1505,Validator,102.20
1506,Validator,102.20
1507,Validator,102.20
1508,Validator,102.20
1509,Validator,102.20
1510,Validator,102.20
1511,Validator,102.20
1512,Validator,102.20
1513,Validator,102.20
1514,Validator,102.20
1515,Validator,102.20
1516,Validator,102.30
1517,Validator,102.30
1518,Validator,102.30
1519,Validator,102.30
1520,Validator,102.30
1521,Validator,102.30
1522,Validator,102.30
1523,Validator,102.30
1524,Validator,102.30
1525,Validator,102.30
1526,Validator,102.30
1527,Validator,102.30
1528,Validator,102.30
1529,Validator,102.30
1530,Validator,102.30
1531,Validator,102.30
1532,Validator,102.30
1533,Validator,102.40
1534,Validator,102.40
1535,Validator,102.40
1536,Validator,102.40
1537,Validator,102.40
1538,Validator,102.40
1539,Validator,102.40
1540,Validator,102.40
1541,Validator,102.40
1542,Validator,102.40
1543,Validator,102.40
1544,Validator,102.40
1545,Validator,102.40
1546,Validator,102.40
1547,Validator,102.40
1548,Validator,102.40
1549,Validator,102.40
1550,Validator,102.40
1551,Validator,102.40
1552,Validator,102.50
1553,Validator,102.50
1554,Validator,102.50
1555,Validator,102.50
1556,Validator,102.50
1557,Validator,102.50
1558,Validator,102.50
1559,Validator,102.50
1560,Validator,102.50
1561,Validator,102.50
1562,Validator,102.50
1563,Validator,102.50
1564,Validator,102.60
1565,Validator,102.60
1566,Validator,102.60
1567,Validator,102.60
1568,Validator,102.60
1569,Validator,102.60
1570,Validator,102.60
1571,Validator,102.70
1572,Validator,102.70
1573,Validator,102.70
1574,Validator,102.70
1575,Validator,102.70
1576,Validator,102.70
1577,Validator,102.70
1578,Validator,102.70
1579,Validator,102.70
1580,Validator,102.70
1581,Validator,102.70
1582,Validator,102.70
1583,Validator,102.80
1584,Validator,102.80
1585,Validator,102.80
1586,Validator,102.80
1587,Validator,102.80
1588,Validator,102.80
1589,Validator,102.80
1590,Validator,103.00
1591,Validator,102.90
1592,Validator,102.90
1593,Validator,102.90
1594,Validator,102.90
1595,Validator,102.90
1596,Validator,102.90
1597,Validator,102.90
1598,Validator,102.90
1599,Validator,102.90
1600,Validator,102.90
1601,Validator,102.90
1602,Validator,103.00
1603,Validator,103.00
1604,Validator,103.00
1605,Validator,103.00
1606,Validator,103.00
1607,Validator,103.00
1608,Validator,103.00
1609,Validator,103.00
1610,Validator,103.00
1611,Validator,103.00
1612,Validator,103.00
1613,Validator,103.10
1614,Validator,103.10
1615,Validator,103.10
1616,Validator,103.10
1617,Validator,103.10
1618,Validator,103.10
1619,Validator,103.10
1620,Validator,103.10
1621,Validator,103.10
1622,Validator,103.10
1623,Validator,103.10
1624,Validator,103.10
1625,Validator,103.10
1626,Validator,103.10
1627,Validator,103.20
1628,Validator,103.20
1629,Validator,103.20
1630,Validator,103.20
1631,Validator,103.20
1632,Validator,103.20
1633,Validator,103.20
1634,Validator,103.30
1635,Validator,103.30
1636,Validator,103.30
1637,Validator,103.30
1638,Validator,103.30
1639,Validator,103.30
1640,Validator,103.30
1641,Validator,103.30
1642,Validator,103.30
1643,Validator,103.30
1644,Validator,103.30
1645,Validator,103.30
1646,Validator,103.40
1647,Validator,103.40
1648,Validator,103.40
1649,Validator,103.40
1650,Validator,103.40
1651,Validator,103.40
1652,Validator,103.40
1653,Validator,103.40
1654,Validator,103.50
1655,Validator,103.50
1656,Validator,103.50
1657,Validator,103.50
1658,Validator,103.50
1659,Validator,103.50
1660,Validator,103.50
1661,Validator,103.50
1662,Validator,103.50
1663,Validator,103.50
1664,Validator,103.50
1665,Validator,103.50
1666,Validator,103.50
1667,Validator,103.60
1668,Validator,103.60
1669,Validator,103.60
1670,Validator,103.60
1671,Validator,103.60
1672,Validator,103.60
1673,Validator,103.60
1674,Validator,103.60
1675,Validator,103.60
1676,Validator,103.60
1677,Validator,103.60
1678,Validator,103.60
1679,Validator,103.60
1680,Validator,103.70
1681,Validator,103.70
1682,Validator,103.70
1683,Validator,103.70
1684,Validator,103.70
1685,Validator,103.70
1686,Validator,103.70
1687,Validator,103.70
1688,Validator,103.70
1689,Validator,103.70
1690,Validator,103.70
1691,Validator,103.70
1692,Validator,103.80
1693,Validator,103.80
1694,Validator,103.80
1695,Validator,103.80
1696,Validator,103.90
1697,Validator,103.90
1698,Validator,103.90
1699,Validator,103.90
1700,Validator,103.90
1701,Validator,103.90
1702,Validator,103.90
1703,Validator,104.00
1704,Validator,104.00
1705,Validator,104.00
1706,Validator,104.00
1707,Validator,104.00
1708,Validator,104.00
1709,Validator,104.00
1710,Validator,104.00
1711,Validator,104.00
1712,Validator,104.00
1713,Validator,104.00
1714,Validator,104.00
1715,Validator,104.10
1716,Validator,104.10
1717,Validator,104.10
1718,Validator,104.10
1719,Validator,104.10
1720,Validator,104.10
1721,Validator,104.10
1722,Validator,104.10
1723,Validator,104.10
1724,Validator,104.20
1725,Validator,104.20
1726,Validator,104.20
1727,Validator,104.20
1728,Validator,104.20
1729,Validator,104.20
1730,Validator,104.20
1731,Validator,104.20
1732,Validator,104.20
1733,Validator,104.20
1734,Validator,104.20
1735,Validator,104.20
1736,Validator,104.20
1737,Validator,104.20
1738,Validator,104.30
1739,Validator,104.30
1740,Validator,104.30
1741,Validator,104.30
1742,Validator,104.30
1743,Validator,104.30
1744,Validator,104.30
1745,Validator,104.30
1746,Validator,104.30
1747,Validator,104.30
1748,Validator,104.40
1749,Validator,104.40
1750,Validator,104.40
1751,Validator,104.40
1752,Validator,104.40
1753,Validator,104.40
1754,Validator,104.40
1755,Validator,104.40
1756,Validator,104.40
1757,Validator,104.40
1758,Validator,104.40
1759,Validator,104.50
1760,Validator,104.50
1761,Validator,104.50
1762,Validator,104.50
1763,Validator,104.50
1764,Validator,104.50
1765,Validator,104.50
1766,Validator,104.50
1767,Validator,104.50
1768,Validator,104.50
1769,Validator,104.60
1770,Validator,104.60
1771,Validator,104.60
1772,Validator,104.60
1773,Validator,104.60
1774,Validator,104.60
1775,Validator,104.60
1776,Validator,104.60
1777,Validator,104.60
1778,Validator,104.60
1779,Validator,104.60
1780,Validator,104.60
1781,Validator,104.60
1782,Validator,104.70
1783,Validator,104.70
1784,Validator,104.70
1785,Validator,104.70
1786,Validator,104.70
1787,Validator,104.70
1788,Validator,104.70
1789,Validator,104.70
1790,Validator,104.80
1791,Validator,104.80
1792,Validator,104.90
1793,Validator,104.80
1794,Validator,104.80
1795,Validator,104.80
1796,Validator,104.80
1797,Validator,104.80
1798,Validator,104.80
1799,Validator,104.80
1800,Validator,104.80
1801,Validator,104.80
1802,Validator,104.80
1803,Validator,104.80
1804,Validator,104.80
1805,Validator,104.90
1806,Validator,104.90
1807,Validator,104.90
1808,Validator,104.90
1809,Validator,104.90
1810,Validator,104.90
1811,Validator,104.90
1812,Validator,104.90
1813,Validator,104.90
1814,Validator,105.10
1815,Validator,104.90
1816,Validator,104.90
1817,Validator,105.00
1818,Validator,105.00
1819,Validator,105.00
1820,Validator,105.00
1821,Validator,105.00
1822,Validator,105.00
1823,Validator,105.00
1824,Validator,105.10
1825,Validator,105.10
1826,Validator,105.10
1827,Validator,105.10
1828,Validator,105.10
1829,Validator,105.10
1830,Validator,105.10
1831,Validator,105.10
1832,Validator,105.10
1833,Validator,105.10
1834,Validator,105.10
1835,Validator,105.10
1836,Validator,105.10
1837,Validator,105.10
1838,Validator,105.10
1839,Validator,105.10
1840,Validator,105.20
1841,Validator,105.20
1842,Validator,105.20
1843,Validator,105.20
1844,Validator,105.20
1845,Validator,105.20
1846,Validator,105.20
1847,Validator,105.20
1848,Validator,105.20
1849,Validator,105.20
1850,Validator,105.20
1851,Validator,105.30
1852,Validator,105.30
1853,Validator,105.30
1854,Validator,105.30
1855,Validator,105.30
1856,Validator,105.30
1857,Validator,105.30
1858,Validator,105.30
1859,Validator,105.30
1860,Validator,105.30
1861,Validator,105.30
1862,Validator,105.30
1863,Validator,105.40
1864,Validator,105.40
1865,Validator,105.40
1866,Validator,105.40
1867,Validator,105.40
1868,Validator,105.40
1869,Validator,105.40
1870,Validator,105.40
1871,Validator,105.40
1872,Validator,105.40
1873,Validator,105.40
1874,Validator,105.50
1875,Validator,105.50
1876,Validator,105.50
1877,Validator,105.50
1878,Validator,105.50
1879,Validator,105.50
1880,Validator,105.50
1881,Validator,105.50
1882,Validator,105.50
1883,Validator,105.50
1884,Validator,107.00
1885,Validator,107.00
1886,Validator,107.00
1887,Validator,107.00
1888,Validator,107.10
1889,Validator,107.10
1890,Validator,107.10
1891,Validator,107.10
1892,Validator,107.10
1893,Validator,107.10
1894,Validator,107.10
1895,Validator,107.10
1896,Validator,107.10
1897,Validator,107.20
1898,Validator,107.20
1899,Validator,107.20
1900,Validator,107.20
1901,Validator,107.20
1902,Validator,107.20
1903,Validator,107.20
1904,Validator,107.20
1905,Validator,107.20
1906,Validator,107.20
1907,Validator,107.20
1908,Validator,107.20
1909,Validator,107.30
1910,Validator,107.30
1911,Validator,107.30
1912,Validator,107.30
1913,Validator,107.30
1914,Validator,107.30
1915,Validator,107.30
1916,Validator,107.30
1917,Validator,107.30
1918,Validator,107.30
1919,Validator,107.30
1920,Validator,107.30
1921,Validator,107.30
1922,Validator,107.40
1923,Validator,107.40
1924,Validator,107.40
1925,Validator,107.40
1926,Validator,107.40
1927,Validator,107.40
1928,Validator,107.40
1929,Validator,107.40
1930,Validator,107.40
1931,Validator,107.40
1932,Validator,107.40
1933,Validator,107.60
1934,Validator,107.40
1935,Validator,107.50
1936,Validator,107.50
1937,Validator,107.60
1938,Validator,107.50
1939,Validator,107.60
1940,Validator,107.60
1941,Validator,107.60
1942,Validator,107.60
1943,Validator,107.60
1944,Validator,107.60
1945,Validator,107.60
1946,Validator,107.60
1947,Validator,107.60
1948,Validator,107.60
1949,Validator,107.60
1950,Validator,107.60
1951,Validator,107.70
1952,Validator,107.70
1953,Validator,107.70
1954,Validator,107.70
1955,Validator,107.70
1956,Validator,107.70
1957,Validator,107.70
1958,Validator,107.70
1959,Validator,107.70
1960,Validator,107.70
1961,Validator,107.70
1962,Validator,107.80
1963,Validator,107.80
1964,Validator,107.80
1965,Validator,107.80
1966,Validator,107.80
1967,Validator,107.80
1968,Validator,107.80
1969,Validator,107.80
1970,Validator,107.80
1971,Validator,107.80
1972,Validator,107.80
1973,Validator,107.80
1974,Validator,107.90
1975,Validator,107.90
1976,Validator,107.90
1977,Validator,107.90
1978,Validator,107.90
1979,Validator,107.90
1980,Validator,107.90
1981,Validator,108.00
1982,Validator,108.00
1983,Validator,108.00
1984,Validator,108.00
1985,Validator,108.00
1986,Validator,108.00
1987,Validator,108.00
1988,Validator,108.00
1989,Validator,108.00
1990,Validator,108.00
1991,Validator,108.00
1992,Validator,108.00
1993,Validator,108.10
1994,Validator,108.10
1995,Validator,108.10
1996,Validator,108.10
1997,Validator,108.10
1998,Validator,108.10
1999,Validator,108.10
2000,Validator,108.20
2001,Validator,108.10
2002,Validator,108.20
2003,Validator,108.10
2004,Validator,108.10
2005,Validator,108.10
2006,Validator,108.20
2007,Validator,108.20
2008,Validator,108.20
2009,Validator,108.20
2010,Validator,108.20
2011,Validator,108.20
2012,Validator,108.20
2013,Validator,108.20
2014,Validator,108.20
2015,Validator,108.20
2016,Validator,108.20
2017,Validator,108.20
2018,Validator,108.30
2019,Validator,108.30
2020,Validator,108.30
2021,Validator,108.30
2022,Validator,108.30
2023,Validator,108.30
2024,Validator,108.30
2025,Validator,108.40
2026,Validator,108.30
2027,Validator,108.30
2028,Validator,108.30
2029,Validator,108.30
2030,Validator,108.30
2031,Validator,108.40
2032,Validator,108.40
2033,Validator,108.40
2034,Validator,108.40
2035,Validator,108.40
2036,Validator,108.40
2037,Validator,108.40
2038,Validator,108.40
2039,Validator,108.40
2040,Validator,108.40
2041,Validator,108.50
2042,Validator,108.50
2043,Validator,108.50
2044,Validator,108.50
2045,Validator,108.50
2046,Validator,108.50
2047,Validator,108.50
2048,Validator,108.50
2049,Validator,108.50
2050,Validator,108.50
2051,Validator,108.50
2052,Validator,108.60
2053,Validator,108.60
2054,Validator,108.60
2055,Validator,108.60
2056,Validator,108.60
2057,Validator,108.60
2058,Validator,108.60
2059,Validator,108.60
2060,Validator,108.60
2061,Validator,108.60
2062,Validator,108.60
2063,Validator,108.60
2064,Validator,108.60
2065,Validator,108.60
2066,Validator,108.60
2067,Validator,108.60
2068,Validator,110.70
2069,Validator,110.70
2070,Validator,110.70
2071,Validator,110.70
2072,Validator,110.70
2073,Validator,110.70
2074,Validator,110.70
2075,Validator,110.70
2076,Validator,110.70
2077,Validator,110.80
2078,Validator,110.80
2079,Validator,110.80
2080,Validator,110.80
2081,Validator,110.80
2082,Validator,110.80
2083,Validator,110.80
2084,Validator,110.80
2085,Validator,110.80
2086,Validator,110.80
2087,Validator,110.80
2088,Validator,110.80
2089,Validator,110.80
2090,Validator,110.80
2091,Validator,110.80
2092,Validator,110.80
2093,Validator,110.80
2094,Validator,111.00
2095,Validator,110.80
2096,Validator,110.90
2097,Validator,110.90
2098,Validator,110.90
2099,Validator,110.90
2100,Validator,110.90
2101,Validator,110.90
2102,Validator,110.90
2103,Validator,110.90
2104,Validator,110.90
2105,Validator,110.90
2106,Validator,110.90
2107,Validator,110.90
2108,Validator,110.90
2109,Validator,110.90
2110,Validator,110.90
2111,Validator,110.90
2112,Validator,111.00
2113,Validator,111.00
2114,Validator,111.00
2115,Validator,111.00
2116,Validator,111.00
2117,Validator,111.00
2118,Validator,111.10
2119,Validator,111.00
2120,Validator,111.00
2121,Validator,111.00
2122,Validator,111.00
2123,Validator,111.00
2124,Validator,111.00
2125,Validator,111.00
2126,Validator,111.00
2127,Validator,111.00
2128,Validator,111.00
2129,Validator,111.00
2130,Validator,111.00
2131,Validator,110.20
2132,Validator,110.20
2133,Validator,110.30
2134,Validator,110.30
2135,Validator,110.30
2136,Validator,110.30
2137,Validator,110.30
2138,Validator,110.30
2139,Validator,110.30
2140,Validator,110.40
2141,Validator,110.40
2142,Validator,110.40
2143,Validator,110.40
2144,Validator,110.40
2145,Validator,110.40
2146,Validator,110.40
2147,Validator,110.40
2148,Validator,110.50
2149,Validator,110.50
2150,Validator,110.50
2151,Validator,110.50
2152,Validator,110.50
2153,Validator,110.50
2154,Validator,110.50
2155,Validator,110.50
2156,Validator,110.60
2157,Validator,110.60
2158,Validator,110.60
2159,Validator,110.70
2160,Validator,110.60
2161,Validator,110.60
2162,Validator,110.60
2163,Validator,110.70
2164,Validator,110.70
2165,Validator,110.70
2166,Validator,110.70
2167,Validator,110.70
2168,Validator,110.70
2169,Validator,110.70
2170,Validator,110.70
2171,Validator,110.80
2172,Validator,110.80
2173,Validator,110.80
2174,Validator,110.80
2175,Validator,110.80
2176,Validator,110.80
2177,Validator,110.80
2178,Validator,110.80
2179,Validator,109.20
2180,Validator,109.20
2181,Validator,109.20
2182,Validator,109.20
2183,Validator,109.20
2184,Validator,109.20
2185,Validator,109.20
2186,Validator,109.30
2187,Validator,109.30
2188,Validator,109.30
2189,Validator,109.30
2190,Validator,109.30
2191,Validator,109.30
2192,Validator,109.30
2193,Validator,109.30
2194,Validator,109.40
2195,Validator,109.40
2196,Validator,109.40
2197,Validator,109.40
2198,Validator,109.40
2199,Validator,109.40
2200,Validator,109.40
2201,Validator,109.40
2202,Validator,109.50
2203,Validator,109.50
2204,Validator,109.50
2205,Validator,109.50
2206,Validator,109.50
2207,Validator,109.50
2208,Validator,109.50
2209,Validator,109.60
2210,Validator,109.60
2211,Validator,109.60
2212,Validator,109.60
2213,Validator,109.60
2214,Validator,109.60
2215,Validator,109.60
2216,Validator,109.60
2217,Validator,109.70
2218,Validator,109.70
2219,Validator,109.70
2220,Validator,109.70
2221,Validator,109.70
2222,Validator,109.70
2223,Validator,109.70
2224,Validator,109.30
2225,Validator,109.30
2226,Validator,109.40
2227,Validator,109.40
2228,Validator,109.40
2229,Validator,109.40
2230,Validator,109.40
2231,Validator,109.40
2232,Validator,109.40
2233,Validator,109.40
2234,Validator,109.50
2235,Validator,109.50
2236,Validator,109.50
2237,Validator,109.50
2238,Validator,109.50
2239,Validator,109.50
2240,Validator,109.50
2241,Validator,109.50
2242,Validator,109.50
2243,Validator,109.50
2244,Validator,109.60
2245,Validator,109.60
2246,Validator,109.60
2247,Validator,109.70
2248,Validator,109.60
2249,Validator,109.60
2250,Validator,109.60
2251,Validator,109.70
2252,Validator,109.70
2253,Validator,109.70
2254,Validator,109.70
2255,Validator,109.70
2256,Validator,109.70
2257,Validator,109.70
2258,Validator,109.70
2259,Validator,109.80
2260,Validator,109.80
2261,Validator,109.80
2262,Validator,109.80
2263,Validator,109.80
2264,Validator,109.80
2265,Validator,109.80
2266,Validator,110.00
2267,Validator,109.90
2268,Validator,109.90
2269,Validator,109.90
2270,Validator,109.90
2271,Validator,109.90
2272,Validator,109.90
2273,Validator,109.90
2274,Validator,110.00
2275,Validator,110.00
2276,Validator,110.00
2277,Validator,110.00
2278,Validator,110.00
2279,Validator,110.00
2280,Validator,110.00
2281,Validator,110.00
2282,Validator,110.10
2283,Validator,110.10
2284,Validator,110.10
2285,Validator,110.10
2286,Validator,110.10
2287,Validator,110.10
2288,Validator,110.10
2289,Validator,110.10
2290,Validator,110.10
2291,Validator,110.20
2292,Validator,110.20
2293,Validator,110.20
2294,Validator,110.20
2295,Validator,110.20
2296,Validator,110.20
2297,Validator,110.20
2298,Validator,110.20
2299,Validator,110.30
2300,Validator,110.30
2301,Validator,110.30
2302,Validator,110.30
2303,Validator,110.30
2304,Validator,110.30
2305,Validator,110.30
2306,Validator,110.30
2307,Validator,110.40
2308,Validator,110.40
2309,Validator,110.40
2310,Validator,110.40
2311,Validator,110.40
2312,Validator,110.40
2313,Validator,110.40
2314,Validator,110.60
2315,Validator,110.50
2316,Validator,110.50
2317,Validator,110.50
2318,Validator,110.50
2319,Validator,110.50
2320,Validator,110.50
2321,Validator,110.50
2322,Validator,110.60
2323,Validator,110.60
2324,Validator,110.60
2325,Validator,110.60
2326,Validator,110.60
2327,Validator,110.60
2328,Validator,110.60
2329,Validator,110.60
2330,Validator,110.70
2331,Validator,110.70
2332,Validator,110.70
2333,Validator,110.70
2334,Validator,110.70
2335,Validator,110.70
2336,Validator,110.70
2337,Validator,110.70
2338,Validator,110.80
2339,Validator,110.80
2340,Validator,110.80
2341,Validator,110.80
2342,Validator,110.80
2343,Validator,110.80
2344,Validator,110.80
2345,Validator,110.90
2346,Validator,110.90
2347,Validator,110.90
2348,Validator,110.90
2349,Validator,110.90
2350,Validator,110.90
2351,Validator,110.90
2352,Validator,110.90
2353,Validator,111.70
2354,Validator,111.70
2355,Validator,111.70
2356,Validator,111.70
2357,Validator,111.70
2358,Validator,111.70
2359,Validator,111.80
2360,Validator,111.80
2361,Validator,111.80
2362,Validator,111.80
2363,Validator,111.80
2364,Validator,111.80
2365,Validator,111.80
2366,Validator,111.90
2367,Validator,111.90
2368,Validator,111.90
2369,Validator,111.90
2370,Validator,111.90
2371,Validator,111.90
2372,Validator,111.90
2373,Validator,111.90
2374,Validator,114.00
2375,Validator,114.00
2376,Validator,114.00
2377,Validator,114.00
2378,Validator,114.00
2379,Validator,114.00
2380,Validator,114.00
2381,Validator,114.00
2382,Validator,114.00
2383,Validator,114.00
2384,Validator,114.00
2385,Validator,114.00
2386,Validator,116.00
2387,Validator,116.10
2388,Validator,116.00
2389,Validator,116.00
2390,Validator,116.00
2391,Validator,116.00
2392,Validator,116.00
2393,Validator,116.00
2394,Validator,116.00
2395,Validator,116.00
2396,Validator,116.00
2397,Validator,116.00
2398,Validator,116.00
2399,Validator,116.00
2400,Validator,116.00
2401,Validator,116.00
2402,Validator,116.00
2403,Validator,116.00
2404,Validator,116.00
2405,Validator,116.00
2406,Validator,116.00
2407,Validator,116.00
2408,Validator,116.00
2409,Validator,116.00
2410,Validator,116.00
2411,Validator,116.00
2412,Validator,116.00
2413,Validator,116.00
2414,Validator,116.00
2415,Validator,116.00
2416,Validator,116.00
2417,Validator,116.00
2418,Validator,116.00
2419,Validator,116.00
2420,Validator,116.00
2421,Validator,116.00
2422,Validator,116.00
2423,Validator,116.00
2424,Validator,116.10
2425,Validator,116.10
2426,Validator,116.10
2427,Validator,116.10
2428,Validator,116.10
2429,Validator,116.10
2430,Validator,116.10
2431,Validator,116.10
2432,Validator,116.10
2433,Validator,116.10
2434,Validator,116.10
2435,Validator,116.10
2436,Validator,116.10
2437,Validator,116.20
2438,Validator,116.10
2439,Validator,116.10
2440,Validator,116.10
2441,Validator,116.10
2442,Validator,116.10
2443,Validator,116.10
2444,Validator,116.10
2445,Validator,116.10
2446,Validator,116.10
2447,Validator,116.10
2448,Validator,116.10
2449,Validator,116.10
2450,Validator,116.10
2451,Validator,116.10
2452,Validator,116.10
2453,Validator,116.10
2454,Validator,116.10
2455,Validator,116.10
2456,Validator,116.10
2457,Validator,116.10
2458,Validator,116.10
2459,Validator,116.10
2460,Validator,116.20
2461,Validator,116.10
2462,Validator,116.10
2463,Validator,116.10
2464,Validator,116.10
2465,Validator,116.10
2466,Validator,116.10
2467,Validator,116.10
2468,Validator,116.10
2469,Validator,116.10
2470,Validator,116.10
2471,Validator,116.10
2472,Validator,116.10
2473,Validator,116.10
2474,Validator,116.10
2475,Validator,116.10
2476,Validator,116.10
2477,Validator,116.10
2478,Validator,116.10
2479,Validator,116.10
2480,Validator,116.10
2481,Validator,116.10
2482,Validator,116.50
2483,Validator,116.50
2484,Validator,116.50
2485,Validator,116.50
2486,Validator,116.50
2487,Validator,116.50
2488,Validator,116.50
2489,Validator,116.50
2490,Validator,116.50
2491,Validator,116.50
2492,Validator,116.50
2493,Validator,116.50
2494,Validator,116.50
2495,Validator,116.50
2496,Validator,116.50
2497,Validator,116.50
2498,Validator,116.50
2499,Validator,116.50
2500,Validator,116.50
2501,Validator,116.50
2502,Validator,116.50
2503,Validator,116.50
2504,Validator,116.60
2505,Validator,116.60
2506,Validator,116.60
2507,Validator,116.60
2508,Validator,116.60
2509,Validator,116.60
2510,Validator,116.60
2511,Validator,116.60
2512,Validator,116.60
2513,Validator,116.60
2514,Validator,116.60
2515,Validator,116.60
2516,Validator,116.60
2517,Validator,116.60
2518,Validator,116.60
2519,Validator,116.60
2520,Validator,116.60
2521,Validator,116.60
2522,Validator,116.60
2523,Validator,116.60
2524,Validator,116.60
2525,Validator,116.60
2526,Validator,116.60
2527,Validator,116.60
2528,Validator,116.60
2529,Validator,116.60
2530,Validator,116.60
2531,Validator,116.60
2532,Validator,116.60
2533,Validator,116.60
2534,Validator,116.60
2535,Validator,116.60
2536,Validator,116.60
2537,Validator,116.60
2538,Validator,116.60
2539,Validator,116.60
2540,Validator,116.60
2541,Validator,116.60
2542,Validator,116.60
2543,Validator,116.60
2544,Validator,116.60
2545,Validator,116.60
2546,Validator,116.60
2547,Validator,116.60
2548,Validator,116.60
2549,Validator,116.60
2550,Validator,116.60
2551,Validator,116.60
2552,Validator,116.60
2553,Validator,116.60
2554,Validator,116.60
2555,Validator,116.60
2556,Validator,116.60
2557,Validator,116.60
2558,Validator,116.60
2559,Validator,116.60
2560,Validator,116.60
2561,Validator,116.60
2562,Validator,116.60
2563,Validator,116.60
2564,Validator,116.60
2565,Validator,116.60
2566,Validator,116.60
2567,Validator,116.60
2568,Validator,116.60
2569,Validator,116.60
2570,Validator,116.60
2571,Validator,116.60
2572,Validator,118.10
2573,Validator,118.10
2574,Validator,118.10
2575,Validator,118.10
2576,Validator,118.10
2577,Validator,118.10
2578,Validator,118.10
2579,Validator,118.10
2580,Validator,118.10
2581,Validator,118.10
2582,Validator,118.10
2583,Validator,118.10
2584,Validator,118.10
2585,Validator,118.10
2586,Validator,118.10
2587,Validator,118.10
2588,Validator,118.10
2589,Validator,118.10
2590,Validator,118.10
2591,Validator,118.20
2592,Validator,118.20
2593,Validator,118.20
2594,Validator,118.20
2595,Validator,118.20
2596,Validator,118.20
2597,Validator,118.20
2598,Validator,118.20
2599,Validator,118.20
2600,Validator,118.20
2601,Validator,118.20
2602,Validator,118.20
2603,Validator,118.20
2604,Validator,118.20
2605,Validator,118.20
2606,Validator,118.20
2607,Validator,118.20
2608,Validator,118.20
2609,Validator,118.20
2610,Validator,118.20
2611,Validator,118.20
2612,Validator,118.20
2613,Validator,118.20
2614,Validator,118.20
2615,Validator,118.20
2616,Validator,118.20
2617,Validator,118.20
2618,Validator,118.20
2619,Validator,118.20
2620,Validator,118.20
2621,Validator,118.20
2622,Validator,118.20
2623,Validator,118.20
