Time (in seconds),Validator,CPU Used
319,Validator,0.03
320,Validator,1.03
321,Validator,1.67
322,Validator,0.68
323,Validator,1.83
324,Validator,1.01
325,Validator,0.26
326,Validator,1.17
327,Validator,2.07
328,Validator,0.77
329,Validator,1.11
330,Validator,1.43
331,Validator,0.28
332,Validator,5.44
333,Validator,2.29
334,Validator,4.66
335,Validator,0.93
336,Validator,7.19
337,Validator,0.21
338,Validator,4.75
339,Validator,1.50
340,Validator,2.62
341,Validator,0.29
342,Validator,1.74
343,Validator,0.23
344,Validator,1.04
345,Validator,1.50
346,Validator,0.61
347,Validator,0.70
348,Validator,1.73
349,Validator,0.61
350,Validator,0.32
351,Validator,1.32
352,Validator,1.07
353,Validator,0.78
354,Validator,1.11
355,Validator,3.56
356,Validator,0.08
357,Validator,4.59
358,Validator,0.49
359,Validator,4.47
360,Validator,3.68
361,Validator,5.84
362,Validator,0.24
363,Validator,5.75
364,Validator,0.94
365,Validator,0.08
366,Validator,0.90
367,Validator,1.30
368,Validator,0.77
369,Validator,0.94
370,Validator,1.73
371,Validator,0.34
372,Validator,1.43
373,Validator,2.35
374,Validator,0.04
375,Validator,0.33
376,Validator,1.74
377,Validator,0.44
378,Validator,4.48
379,Validator,2.40
380,Validator,6.04
381,Validator,0.23
382,Validator,4.50
383,Validator,0.18
384,Validator,3.68
385,Validator,0.81
386,Validator,3.42
387,Validator,0.25
388,Validator,0.64
389,Validator,0.66
390,Validator,0.03
391,Validator,1.82
392,Validator,2.70
393,Validator,0.74
394,Validator,1.95
395,Validator,1.65
396,Validator,0.78
397,Validator,1.32
398,Validator,0.47
399,Validator,0.80
400,Validator,1.42
401,Validator,4.27
402,Validator,0.12
403,Validator,3.45
404,Validator,1.22
405,Validator,5.12
406,Validator,4.69
407,Validator,3.70
408,Validator,0.33
409,Validator,4.24
410,Validator,0.84
411,Validator,0.27
412,Validator,0.57
413,Validator,1.00
414,Validator,0.31
415,Validator,0.05
416,Validator,1.88
417,Validator,0.94
418,Validator,0.90
419,Validator,1.75
420,Validator,3.19
421,Validator,0.33
422,Validator,0.99
423,Validator,1.13
424,Validator,0.05
425,Validator,0.35
426,Validator,4.23
427,Validator,0.06
428,Validator,5.09
429,Validator,0.71
430,Validator,3.62
431,Validator,0.85
432,Validator,4.53
433,Validator,0.15
434,Validator,4.21
435,Validator,1.19
436,Validator,1.84
437,Validator,0.89
438,Validator,1.15
439,Validator,0.80
440,Validator,0.81
441,Validator,1.17
442,Validator,1.33
443,Validator,1.19
444,Validator,0.77
445,Validator,0.39
446,Validator,0.04
447,Validator,2.74
448,Validator,1.07
449,Validator,0.15
450,Validator,1.41
451,Validator,0.83
452,Validator,0.49
453,Validator,3.21
454,Validator,1.72
455,Validator,3.32
456,Validator,0.92
457,Validator,4.17
458,Validator,0.23
459,Validator,4.71
460,Validator,2.18
461,Validator,3.06
462,Validator,1.16
463,Validator,2.10
464,Validator,1.33
465,Validator,1.42
466,Validator,1.12
467,Validator,0.95
468,Validator,1.11
469,Validator,1.70
470,Validator,0.69
471,Validator,0.07
472,Validator,0.72
473,Validator,0.47
474,Validator,0.25
475,Validator,1.85
476,Validator,1.61
477,Validator,0.38
478,Validator,2.34
479,Validator,0.73
480,Validator,4.55
481,Validator,0.79
482,Validator,4.98
483,Validator,0.09
484,Validator,5.17
485,Validator,0.75
486,Validator,2.75
487,Validator,1.79
488,Validator,2.11
489,Validator,0.82
490,Validator,2.47
491,Validator,1.37
492,Validator,0.27
493,Validator,0.87
494,Validator,2.20
495,Validator,0.21
496,Validator,0.10
497,Validator,7.67
498,Validator,0.33
499,Validator,0.62
500,Validator,0.64
501,Validator,1.57
502,Validator,0.34
503,Validator,4.79
504,Validator,1.26
505,Validator,3.94
506,Validator,1.48
507,Validator,5.30
508,Validator,0.95
509,Validator,3.81
510,Validator,1.15
511,Validator,5.00
512,Validator,1.68
513,Validator,2.00
514,Validator,0.20
515,Validator,0.63
516,Validator,1.33
517,Validator,0.74
518,Validator,0.40
519,Validator,0.64
520,Validator,0.47
521,Validator,0.15
522,Validator,2.16
523,Validator,0.79
524,Validator,0.32
525,Validator,1.06
526,Validator,3.32
527,Validator,0.98
528,Validator,6.82
529,Validator,2.16
530,Validator,4.34
531,Validator,1.31
532,Validator,4.74
533,Validator,0.12
534,Validator,3.98
535,Validator,1.89
536,Validator,0.27
537,Validator,0.99
538,Validator,0.94
539,Validator,0.16
540,Validator,0.99
541,Validator,1.00
542,Validator,0.09
543,Validator,1.00
544,Validator,1.56
545,Validator,0.36
546,Validator,0.64
547,Validator,1.91
548,Validator,0.96
549,Validator,1.70
550,Validator,1.39
551,Validator,2.34
552,Validator,0.52
553,Validator,3.78
554,Validator,0.45
555,Validator,3.68
556,Validator,0.47
557,Validator,3.81
558,Validator,0.09
559,Validator,3.11
560,Validator,0.38
561,Validator,4.14
562,Validator,0.13
563,Validator,4.05
564,Validator,0.38
565,Validator,0.79
566,Validator,0.31
567,Validator,1.11
568,Validator,0.37
569,Validator,1.30
570,Validator,1.71
571,Validator,0.09
572,Validator,1.48
573,Validator,1.20
574,Validator,0.04
575,Validator,0.77
576,Validator,1.59
577,Validator,0.28
578,Validator,5.47
579,Validator,2.26
580,Validator,4.12
581,Validator,0.61
582,Validator,3.45
583,Validator,0.62
584,Validator,3.58
585,Validator,1.52
586,Validator,1.94
587,Validator,0.10
588,Validator,2.81
589,Validator,1.28
590,Validator,0.73
591,Validator,2.85
592,Validator,1.46
593,Validator,0.14
594,Validator,1.83
595,Validator,1.37
596,Validator,0.49
597,Validator,0.24
598,Validator,2.51
599,Validator,0.03
600,Validator,0.95
601,Validator,3.14
602,Validator,0.20
603,Validator,3.19
604,Validator,1.45
605,Validator,4.19
606,Validator,0.06
607,Validator,3.90
608,Validator,0.62
609,Validator,3.08
610,Validator,0.62
611,Validator,2.42
612,Validator,0.28
613,Validator,2.84
614,Validator,0.28
615,Validator,0.50
616,Validator,2.57
617,Validator,0.73
618,Validator,0.35
619,Validator,0.90
620,Validator,1.12
621,Validator,0.06
622,Validator,2.22
623,Validator,0.68
624,Validator,3.30
625,Validator,1.38
626,Validator,5.14
627,Validator,0.06
628,Validator,4.35
629,Validator,1.73
630,Validator,3.83
631,Validator,2.28
632,Validator,3.74
633,Validator,0.63
634,Validator,0.30
635,Validator,2.85
636,Validator,0.39
637,Validator,0.40
638,Validator,0.59
639,Validator,0.02
640,Validator,0.24
641,Validator,1.58
642,Validator,0.23
643,Validator,0.18
644,Validator,3.08
645,Validator,1.18
646,Validator,0.19
647,Validator,5.05
648,Validator,0.90
649,Validator,3.41
650,Validator,1.51
651,Validator,6.25
652,Validator,0.61
653,Validator,4.73
654,Validator,1.48
655,Validator,0.68
656,Validator,2.11
657,Validator,2.21
658,Validator,0.07
659,Validator,1.85
660,Validator,0.47
661,Validator,0.83
662,Validator,1.57
663,Validator,1.68
664,Validator,0.12
665,Validator,0.64
666,Validator,1.94
667,Validator,0.05
668,Validator,4.69
669,Validator,1.97
670,Validator,4.08
671,Validator,1.21
672,Validator,5.88
673,Validator,0.26
674,Validator,3.92
675,Validator,1.18
676,Validator,3.48
677,Validator,0.23
678,Validator,1.67
679,Validator,0.22
680,Validator,0.12
681,Validator,2.61
682,Validator,0.67
683,Validator,0.35
684,Validator,1.87
685,Validator,1.45
686,Validator,0.45
687,Validator,1.66
688,Validator,0.93
689,Validator,0.08
690,Validator,0.94
691,Validator,3.73
692,Validator,0.06
693,Validator,5.81
694,Validator,3.03
695,Validator,3.40
696,Validator,2.23
697,Validator,3.62
698,Validator,0.54
699,Validator,1.41
700,Validator,2.78
701,Validator,0.71
702,Validator,0.52
703,Validator,1.35
704,Validator,0.11
705,Validator,1.20
706,Validator,0.59
707,Validator,0.02
708,Validator,0.21
709,Validator,0.83
710,Validator,0.09
711,Validator,0.54
712,Validator,4.74
713,Validator,0.28
714,Validator,3.52
715,Validator,2.31
716,Validator,3.03
717,Validator,1.35
718,Validator,3.74
719,Validator,0.17
720,Validator,2.89
721,Validator,2.34
722,Validator,1.40
723,Validator,0.04
724,Validator,3.30
725,Validator,1.42
726,Validator,1.45
727,Validator,2.14
728,Validator,1.88
729,Validator,0.68
730,Validator,1.32
731,Validator,0.67
732,Validator,0.61
733,Validator,1.22
734,Validator,2.04
735,Validator,2.51
736,Validator,1.62
737,Validator,4.23
738,Validator,0.38
739,Validator,3.66
740,Validator,1.76
741,Validator,4.15
742,Validator,0.43
743,Validator,6.63
744,Validator,0.64
745,Validator,0.82
746,Validator,1.35
747,Validator,1.26
748,Validator,0.03
749,Validator,2.73
750,Validator,1.68
751,Validator,0.70
752,Validator,0.52
753,Validator,1.21
754,Validator,0.31
755,Validator,1.52
756,Validator,0.78
757,Validator,0.31
758,Validator,5.15
759,Validator,1.97
760,Validator,3.01
761,Validator,1.67
762,Validator,3.90
763,Validator,0.19
764,Validator,4.23
765,Validator,0.62
766,Validator,1.41
767,Validator,1.08
768,Validator,1.10
769,Validator,0.57
770,Validator,1.22
771,Validator,1.44
772,Validator,0.76
773,Validator,0.94
774,Validator,2.08
775,Validator,0.09
776,Validator,0.25
777,Validator,1.67
778,Validator,0.24
779,Validator,0.31
780,Validator,1.74
781,Validator,5.24
782,Validator,0.05
783,Validator,4.49
784,Validator,0.81
785,Validator,2.74
786,Validator,2.27
787,Validator,3.28
788,Validator,0.31
789,Validator,2.78
790,Validator,1.19
791,Validator,1.00
792,Validator,0.56
793,Validator,1.71
794,Validator,0.16
795,Validator,1.35
796,Validator,0.90
797,Validator,0.10
798,Validator,1.13
799,Validator,2.02
800,Validator,0.26
801,Validator,0.14
802,Validator,1.92
803,Validator,0.41
804,Validator,4.26
805,Validator,1.61
806,Validator,4.91
807,Validator,0.28
808,Validator,3.79
809,Validator,1.74
810,Validator,3.28
811,Validator,1.01
812,Validator,3.49
813,Validator,0.01
814,Validator,1.12
815,Validator,4.20
816,Validator,0.69
817,Validator,3.40
818,Validator,1.43
819,Validator,0.48
820,Validator,0.86
821,Validator,2.25
822,Validator,0.07
823,Validator,0.99
824,Validator,1.88
825,Validator,0.01
826,Validator,0.19
