6,942
12,170
36,116
4,194
7,285
37,227
37,263
20,216
18,889
23,065
18,990
25,159
6,079
56,182
17,068
36,095
4,109
44,055
19,080
5,146
2,948
20,987
9,099
27,996
8,939
12,952
19,021
10,039
72,159
19,946
9,910
20,162
9,984
16,182
16,208
7,928
4,006
8,989
9,986
17,013
36,085
10,161
8,137
8,916
8,045
12,083
4,125
17,067
19,047
5,033
11,022
14,219
28,051
22,176
9,983
8,973
26,040
43,358
26,049
31,200
21,203
11,020
19,970
43,145
6,026
10,889
8,146
15,986
8,038
8,902
7,939
5,987
44,109
46,375
21,091
19,937
3,937
22,430
7,987
23,051
64,220
3,885
17,938
25,184
23,220
28,050
3,960
34,041
16,976
10,916
10,186
19,078
20,891
14,886
8,965
9,912
8,931
7,984
18,972
12,024
5,908
6,099
16,155
7,949
16,233
14,281
5,058
4,862
33,975
9,147
14,974
15,016
4,992
4,973
9,047
48,208
16,988
24,106
4,986
39,093
9,100
26,975
28,491
17,143
14,984
11,959
8,124
23,005
8,956
7,088
3,911
5,950
40,115
15,992
50,043
5,943
19,937
43,173
38,835
36,300
15,010
22,187
20,966
4,939
45,104
16,017
23,032
15,974
71,156
15,028
8,088
15,106
11,982
31,091
14,962
34,048
36,447
21,260
36,222
10,002
6,108
17,023
21,006
9,923
12,936
14,143
24,018
18,017
35,104
61,188
14,030
35,204
5,933
7,988
3,967
13,043
11,226
50,151
16,073
3,922
44,387
4,394
9,966
9,935
21,961
3,929
6,089
7,960
26,176
32,141
25,668
8,074
33,624
32,528
12,695
8,493
14,348
32,315
47,142
24,460
13,517
33,083
15,910
20,460
9,166
4,947
13,465
6,536
35,330
26,948
5,757
39,421
7,784
32,769
54,720
32,459
16,697
18,173
17,352
27,016
32,557
17,262
75,110
6,153
13,955
20,116
45,556
14,438
13,740
132,351
10,227
80,126
17,249
47,366
18,110
18,479
24,969
33,496
15,139
48,916
5,282
58,624
18,353
52,353
7,457
21,982
20,941
29,247
21,299
8,327
6,518
18,105
11,031
13,799
107,840
19,982
7,454
53,576
6,948
9,454
33,381
31,359
7,388
18,407
11,404
10,331
10,091
10,227
11,615
29,431
15,775
31,817
12,399
32,146
13,639
32,344
13,961
17,027
16,758
13,384
36,948
8,603
13,170
11,257
11,272
26,196
6,827
10,611
15,029
19,816
26,674
21,635
34,553
58,055
42,985
22,052
20,262
8,473
13,046
15,536
4,016
20,394
48,518
26,972
31,261
62,582
12,590
15,066
8,321
88,331
15,166
17,085
8,193
7,075
53,212
17,327
11,941
9,220
11,251
10,123
37,315
55,490
4,098
10,038
12,080
8,099
8,004
29,015
42,161
32,300
39,187
42,246
4,118
14,066
20,125
24,073
5,092
59,178
22,116
19,990
15,675
51,608
30,182
35,245
6,248
7,083
37,492
32,492
13,183
23,166
18,551
7,028
9,374
67,866
11,282
12,759
43,102
32,180
11,044
7,498
18,117
15,114
35,109
35,325
17,171
17,279
15,097
23,041
73,388
10,080
22,207
61,476
4,030
31,048
41,420
52,196
8,154
22,199
17,071
7,077
14,313
