Transaction Number,CosmWasm (Tendermint),Hyperledger Besu (IBFT2),Ethereum (PoW)
226,5.35,5.57,20.12
227,5.44,4.5,45.56
228,5.46,5.52,14.44
229,5.57,4.54,13.74
230,5.33,5.65,10.23
231,5.37,4.56,80.13
232,5.37,5.46,17.25
233,5.42,4.53,47.37
234,5.44,5.48,18.11
235,5.37,4.52,18.48
236,5.36,5.51,24.97
237,5.53,4.51,33.5
238,5.33,5.49,15.14
239,5.56,4.48,48.92
240,5.33,5.5,5.28
241,5.43,4.53,58.62
242,5.44,5.6,18.35
243,5.33,4.57,52.35
244,5.33,4.54,7.46
245,5.37,5.52,21.98
246,5.43,4.6,20.94
247,5.36,5.71,29.25
248,5.45,4.72,21.3
249,5.34,4.46,8.33
250,5.33,5.49,6.52
251,5.48,4.55,18.11
252,5.47,5.59,11.03
253,5.39,4.54,13.8
254,5.43,5.5,107.84
255,5.35,4.55,19.98
256,5.33,5.49,7.45
257,5.33,4.53,53.58
258,5.44,5.48,6.95
259,5.35,4.51,9.45
260,5.34,5.56,33.38
261,5.39,4.48,31.36
262,5.38,5.53,7.39
263,5.4,4.49,18.41
264,5.35,5.46,11.4
265,5.35,4.54,10.33
266,5.33,5.48,10.09
267,5.43,4.5,10.23
268,5.47,5.48,11.62
269,5.36,4.55,29.43
270,5.33,5.45,15.78
271,5.37,4.53,31.82
272,5.61,5.46,12.4
273,5.53,4.49,32.15
274,5.36,5.52,13.64
275,5.35,4.52,32.34
276,5.37,5.57,13.96
277,5.45,4.6,17.03
278,5.36,4.54,16.76
279,5.34,5.55,13.38
280,5.34,4.57,36.95
281,5.37,5.5,8.6
282,5.43,4.54,13.17
283,5.44,5.52,11.26
284,5.49,4.55,11.27
285,5.43,5.57,26.2
286,5.33,4.56,6.83
287,5.42,5.51,10.61
288,5.34,4.66,15.03
289,5.35,4.5,19.82
290,5.33,5.59,26.67
291,5.44,4.51,21.64
292,5.43,5.53,34.55
293,5.36,4.49,58.06
294,5.36,5.54,42.99
295,5.46,4.53,22.05
296,5.36,5.56,20.26
297,5.31,4.58,8.47
298,5.34,5.47,13.05
299,5.34,4.52,15.54
300,5.34,5.5,4.02
301,5.37,4.61,20.39
302,5.44,5.46,48.52
303,5.44,4.53,26.97
304,5.44,5.49,31.26
305,5.47,4.56,62.58
306,5.35,4.48,12.59
307,5.35,5.61,15.07
308,5.38,4.54,8.32
309,5.44,5.51,88.33
310,5.33,4.54,15.17
311,5.48,5.73,17.09
312,5.45,4.95,8.19
313,5.49,4.76,7.08
314,5.44,4.86,53.21
315,5.34,4.91,17.33
316,5.35,4.86,11.94
317,5.4,5.55,9.22
318,5.54,4.23,11.25
319,5.33,5.66,10.12
320,5.35,4.61,37.32
321,5.35,5.58,55.49
322,5.34,4.93,4.1
323,5.33,4.68,10.04
324,5.37,4.59,12.08
325,5.42,5.66,8.1
326,5.34,4.65,8
327,5.48,5.47,29.02
328,5.35,4.53,42.16
329,5.33,5.48,32.3
330,5.33,4.49,39.19
331,5.36,5.55,42.25
332,5.38,4.52,4.12
333,5.33,5.51,14.07
334,5.46,4.53,20.13
335,5.56,5.47,24.07
