Transaction Number,CosmWasm (Tendermint),Hyperledger Besu (IBFT2),Ethereum (PoW)
981,5.33,5.46,12.13
982,5.46,4.57,9.65
983,5.4,5.47,21.19
984,5.3,4.49,16.28
985,5.49,5.48,47.25
986,5.45,4.51,28.25
987,5.37,5.48,12.21
988,5.35,4.48,13.2
989,5.33,5.47,56.21
990,5.35,4.5,35.18
991,5.44,5.59,74.43
992,5.54,4.54,23.23
993,5.43,5.5,28.22
994,5.45,4.52,16.23
995,5.37,5.47,35.28
996,5.48,4.56,9.2
997,5.45,5.5,9.24
998,5.43,4.7,53.35
999,5.36,4.57,23.21
1000,5.35,5.49,97.74
